Sampling Method,Max Length,K Values,Time Taken,Text Generated,New Tokens
speculative,128,4,9.81462836265564,<s> United States in the year 2025. The country is in the midst of a civil war. The government has been overthrown and the country is in chaos. The people are divided into two factions: the United States and the Confederacy. The United States is led by President John Adams and the Confederacy is led by President Thomas Jefferson. The two factions are at war with each other and the country is in a state of anarchy. The United States is a country that is divided into two factions: the United States and the Confederacy. The United States is led by President John Adams and the Confederacy is led by President Thomas Jefferson. The two factions,130
speculative,128,5,9.986293077468872,<s> United States in the year 2025. The country is in the midst of a civil war. The government has been overthrown and the country is in chaos. The people are divided into two factions: the United States and the Confederacy. The United States is led by President Abraham Lincoln and the Confederacy is led by President Jefferson Davis. The two sides are fighting for control of the country. The United States is winning the war and the Confederacy is losing. The United States is winning the war because they have more resources and they are better organized. The Confederacy is losing the war because they are divided and they do not have enough resources. The United States is,129
speculative,128,7,10.018150806427002,<s> United States in the year 2025. The country is in the midst of a civil war. The government has been overthrown and the country is in chaos. The people are divided into two factions: the United States and the Confederacy. The United States is led by President John Adams and the Confederacy is led by President Thomas Jefferson. The two factions are at war with each other and the country is in a state of anarchy. The United States is a country that is divided into two factions: the United States and the Confederacy. The United States is led by President John Adams and the Confederacy is led by President Thomas Jefferson. The two,128
speculative,128,8,10.476672410964966,<s> United States in the year 2025. The country is in the midst of a civil war. The government has been overthrown and the country is in chaos. The people are divided into two factions: the United States and the Confederacy. The United States is led by President John Adams and the Confederacy is led by President Thomas Jefferson. The two factions are at war with each other and the country is in a state of anarchy. The United States is a country that is divided into two factions: the United States and the Confederacy. The United States is led by President John Adams and the Confederacy is led by President Thomas Jefferson. The two factions are at war with each,135
autoregressive,256,0,21.396880865097046,<s> United States in the year 2025. The country is in the midst of a civil war. The government has been overthrown and the country is in chaos. The people are divided into two factions: the United States and the Confederacy. The United States is led by President John Adams and the Confederacy is led by President Thomas Jefferson. The two factions are at war with each other and the country is in a state of anarchy. The United States is a country that is divided into two factions: the United States and the Confederacy. The United States is led by President John Adams and the Confederacy is led by President Thomas Jefferson. The two factions are at war with each other and the country is in a state of anarchy. The United States is a country that is divided into two factions: the United States and the Confederacy. The United States is led by President John Adams and the Confederacy is led by President Thomas Jefferson. The two factions are at war with each other and the country is in a state of anarchy. The United States is a country that is divided into two factions: the United States and the Confederacy. The United States is led by President John Adams and the Confederacy is led by President Thomas Jefferson. The two factions,256
speculative,256,1,21.993767023086548,<s> United States in the year 2025. The country is in the midst of a civil war. The government has been overthrown and the country is in chaos. The people are divided into two factions: the United States and the Confederacy. The United States is led by President John Adams and the Confederacy is led by President Thomas Jefferson. The two factions are at war with each other and the country is in a state of anarchy. The United States is a country that is divided into two factions: the United States and the Confederacy. The United States is led by President John Adams and the Confederacy is led by President Thomas Jefferson. The two factions are at war with each other and the country is in a state of anarchy. The United States is a country that is divided into two factions: the United States and the Confederacy. The United States is led by President John Adams and the Confederacy is led by President Thomas Jefferson. The two factions are at war with each other and the country is in a state of anarchy. The United States is a country that is divided into two factions: the United States and the Confederacy. The United States is led by President John Adams and the Confederacy is led by President Thomas Jefferson. The two factions,256
speculative,256,2,21.88209366798401,<s> United States in the year 2025. The country is in the midst of a civil war. The government has been overthrown and the country is in chaos. The people are divided into two factions: the United States and the Confederacy. The United States is led by President John Adams and the Confederacy is led by President Thomas Jefferson. The two factions are at war with each other and the country is in a state of anarchy. The United States is a country that is divided into two factions: the United States and the Confederacy. The United States is led by President John Adams and the Confederacy is led by President Thomas Jefferson. The two factions are at war with each other and the country is in a state of anarchy. The United States is a country that is divided into two factions: the United States and the Confederacy. The United States is led by President John Adams and the Confederacy is led by President Thomas Jefferson. The two factions are at war with each other and the country is in a state of anarchy. The United States is a country that is divided into two factions: the United States and the Confederacy. The United States is led by President John Adams and the Confederacy is led by President Thomas Jefferson. The two factions are at,258
speculative,256,3,21.836289644241333,<s> United States in the year 2025. The country is in the midst of a civil war. The government has been overthrown and the country is in chaos. The people are divided into two factions: the United States and the Confederacy. The United States is led by President John Adams and the Confederacy is led by President Thomas Jefferson. The two factions are at war with each other and the country is in a state of anarchy. The United States is a country that is divided into two factions: the United States and the Confederacy. The United States is led by President John Adams and the Confederacy is led by President Thomas Jefferson. The two factions are at war with each other and the country is in a state of anarchy. The United States is a country that is divided into two factions: the United States and the Confederacy. The United States is led by President John Adams and the Confederacy is led by President Thomas Jefferson. The two factions are at war with each other and the country is in a state of anarchy. The United States is a country that is divided into two factions: the United States and the Confederacy. The United States is led by President John Adams and the Confederacy is led by President Thomas Jefferson. The two factions,256
speculative,256,4,22.10325050354004,<s> United States in the year 2025. The country is in the midst of a civil war. The government has been overthrown and the country is in chaos. The people are divided into two factions: the United States and the Confederacy. The United States is led by President John Adams and the Confederacy is led by President Thomas Jefferson. The two factions are at war with each other and the country is in a state of anarchy. The United States is a country that is divided into two factions: the United States and the Confederacy. The United States is led by President John Adams and the Confederacy is led by President Thomas Jefferson. The two factions are at war with each other and the country is in a state of anarchy. The United States is a country that is divided into two factions: the United States and the Confederacy. The United States is led by President John Adams and the Confederacy is led by President Thomas Jefferson. The two factions are at war with each other and the country is in a state of anarchy. The United States is a country that is divided into two factions: the United States and the Confederacy. The United States is led by President John Adams and the Confederacy is led by President Thomas Jefferson. The two factions are at war with,260
speculative,256,5,22.216102838516235,<s> United States in the year 2025. The country is in the midst of a civil war. The government has been overthrown and the country is in chaos. The people are divided into two factions: the United States and the Confederacy. The United States is led by President Abraham Lincoln and the Confederacy is led by President Jefferson Davis. The two sides are fighting for control of the country. The United States is winning the war and the Confederacy is losing. The United States is winning the war because they have more resources and they are better organized. The Confederacy is losing the war because they are divided and they do not have enough resources. The United States is winning the war because they have more resources and they are better organized. The Confederacy is losing the war because they are divided and they do not have enough resources. The United States is winning the war because they have more resources and they are better organized. The Confederacy is losing the war because they are divided and they do not have enough resources. The United States is winning the war because they have more resources and they are better organized. The Confederacy is losing the war because they are divided and they do not have enough resources. The United States is winning the war because they have more resources and they are better organized. The Confederacy is losing the war,261
speculative,256,7,21.774155378341675,<s> United States in the year 2025. The country is in the midst of a civil war. The government has been overthrown and the country is in chaos. The people are divided into two factions: the United States and the Confederacy. The United States is led by President John Adams and the Confederacy is led by President Thomas Jefferson. The two factions are at war with each other and the country is in a state of anarchy. The United States is a country that is divided into two factions: the United States and the Confederacy. The United States is led by President John Adams and the Confederacy is led by President Thomas Jefferson. The two factions are at war with each other and the country is in a state of anarchy. The United States is a country that is divided into two factions: the United States and the Confederacy. The United States is led by President John Adams and the Confederacy is led by President Thomas Jefferson. The two factions are at war with each other and the country is in a state of anarchy. The United States is a country that is divided into two factions: the United States and the Confederacy. The United States is led by President John Adams and the Confederacy is led by President Thomas Jefferson. The two factions,256
speculative,256,8,22.318833351135254,<s> United States in the year 2025. The country is in the midst of a civil war. The government has been overthrown and the country is in chaos. The people are divided into two factions: the United States and the Confederacy. The United States is led by President John Adams and the Confederacy is led by President Thomas Jefferson. The two factions are at war with each other and the country is in a state of anarchy. The United States is a country that is divided into two factions: the United States and the Confederacy. The United States is led by President John Adams and the Confederacy is led by President Thomas Jefferson. The two factions are at war with each other and the country is in a state of anarchy. The United States is a country that is divided into two factions: the United States and the Confederacy. The United States is led by President John Adams and the Confederacy is led by President Thomas Jefferson. The two factions are at war with each other and the country is in a state of anarchy. The United States is a country that is divided into two factions: the United States and the Confederacy. The United States is led by President John Adams and the Confederacy is led by President Thomas Jefferson. The two factions are at war with each,261
